method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,1,24.215145,0.333804,11.914065
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,2,24.215883,0.333999,11.916548
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,3,24.215975,0.33388,11.918112
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,4,24.21484,0.333861,11.925918
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,0,25.435949,0.406943,12.312623
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,1,25.43356,0.406921,12.319595
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,2,25.435818,0.407086,12.315954
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,3,25.435324,0.406905,12.32029
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,4,25.434246,0.407037,12.320295
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,0,24.406621,0.331461,11.261077
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,1,24.406758,0.331418,11.258678
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,2,24.405402,0.331535,11.261297
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,3,24.40631,0.331613,11.262094
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,4,24.405978,0.33147,11.250867
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,0,25.470682,0.409595,11.832125
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,1,25.471424,0.409483,11.833834
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,2,25.469709,0.409617,11.831121
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,3,25.47311,0.409473,11.828465
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,4,25.473654,0.409492,11.822771
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,0,24.297963,0.331355,11.230101
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,1,24.295918,0.331185,11.236302
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,2,24.297399,0.331234,11.230515
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,3,24.30173,0.331345,11.222837
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,4,24.298945,0.33131,11.226755
