view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
387,72.7132,-9.8831,-937.9027,291.8870,-171.1358
388,221.3410,2.9024,657.7587,-747.6307,50.4856
389,308.3713,16.2050,750.6490,594.3450,278.2571
390,72.8227,-3.7071,-950.6021,293.8482,-64.4657
391,120.7185,-20.2486,-804.1949,-477.8465,-345.0799
392,234.1977,-21.6474,751.6295,-542.1381,-367.8130
393,265.7985,8.1642,984.3118,-72.3087,141.5943
394,339.3361,-14.5034,340.6387,903.1944,-249.7041
395,19.3678,-10.7233,-324.8848,924.2180,-185.5209
396,163.2696,18.2396,-272.6044,-906.8865,312.0749
397,278.2920,-17.2717,942.1555,137.3111,-296.0332
398,274.4202,7.7229,985.0866,76.1476,133.9885
399,73.6822,17.2393,-913.9167,267.5557,295.4946
